real_household_income,housing_subsidy,total_household,CPI,per_capita_gdp,interest_rate,work_age_pop,housing_price_ind,UNRATE,new_house_supp
59040.0,37.55,125819,3.8254778833095098,58787.0,3.605,205245900.0,178.493,5.1,5.0
59040.0,37.55,125819,3.2805191880404,58886.0,3.6,205412400.0,180.341,4.8,5.1
59040.0,37.55,125819,2.10339046055212,58985.0,3.568,205562900.0,181.913,4.9,5.3
59040.0,37.55,125819,2.49016471097936,59084.0,3.44,205702700.0,183.015,4.8,4.5
59040.0,37.55,125819,2.7425708907920803,59154.666666666664,3.435,205680800.0,183.653,4.9,5.0
59040.0,37.55,125819,2.49832933493122,59225.333333333336,3.46,205736900.0,183.942,5.0,5.2
59040.0,37.55,125819,2.01802556175075,59296.0,3.47,205848400.0,184.017,4.9,5.2
59040.0,37.55,125819,2.45883151623452,59362.0,3.77,205828700.0,184.23,4.7,5.2
59040.0,37.55,125819,2.03838510774881,59428.0,4.198,205936600.0,184.402,4.7,5.4
61140.0,35.771,126224,3.43630577482943,59494.0,4.15,205378300.0,184.655,4.7,5.4
61140.0,35.771,126224,3.2923463387532204,59574.666666666664,4.1675,205421300.0,185.022,4.6,5.3
61140.0,35.771,126224,1.91438367511723,59655.333333333336,4.196,205317300.0,186.53,4.4,5.0
61140.0,35.771,126224,1.55365836257901,59736.0,4.045,205349800.0,188.543,4.4,5.4
61140.0,35.771,126224,2.1132188709843502,59857.0,4.01,205468500.0,190.539,4.4,5.1
61140.0,35.771,126224,1.8968337862046696,59978.0,3.904,205654400.0,192.266,4.3,5.3
61140.0,35.771,126224,2.1220936834140702,60099.0,3.9675000000000002,205756700.0,193.511,4.3,5.8
61140.0,35.771,126224,2.2747579876520403,60290.666666666664,3.88,205750300.0,194.346,4.4,6.1
61140.0,35.771,126224,2.8702567714483,60482.333333333336,3.8049999999999997,205685800.0,194.817,4.3,5.3
61140.0,35.771,126224,2.4249630240346502,60674.0,3.895,205730800.0,195.083,4.2,5.5
61140.0,35.771,126224,2.42039295861358,60813.666666666664,3.9219999999999997,205752300.0,195.45,4.2,4.8
61140.0,35.771,126224,2.95574718908234,60953.333333333336,3.95,205856300.0,195.846,4.1,5.6
63180.0,38.859,127586,4.17000041826154,61093.0,4.032500000000001,206363400.0,196.112,4.0,6.0
63180.0,38.859,127586,2.01327934554867,61174.0,4.33,206271700.0,196.9,4.1,5.7
63180.0,38.859,127586,1.9619000737253895,61255.0,4.444,206223100.0,198.569,4.0,5.2
63180.0,38.859,127586,2.93200914809488,61336.0,4.4675,206220000.0,200.613,4.0,5.6
63180.0,38.859,127586,2.9818325508401204,61431.333333333336,4.586,206414600.0,202.452,3.8,5.5
63180.0,38.859,127586,2.6321178885371204,61526.666666666664,4.57,206592300.0,204.042,4.0,5.8
63180.0,38.859,127586,2.11149391449985,61622.0,4.5275,206643400.0,204.949,3.8,6.0
